Fecha,Población
2015-07-01,3.157.012
2015-10-01,3.175.300
2016-01-01,3.181.397
2016-04-01,3.189.424
2016-07-01,3.180.093
2016-10-01,3.185.561
2017-01-01,3.192.806
2017-04-01,3.195.704
2017-07-01,3.205.390
2017-10-01,3.226.770
2018-01-01,3.236.404
2018-04-01,3.246.215
2018-07-01,3.248.306
2018-10-01,3.263.110
2019-01-01,3.277.390
2019-04-01,3.290.348
2019-07-01,3.316.227
2019-10-01,3.334.289
2020-01-01,3.348.536
2020-04-01,3.349.446
2020-07-01,3.337.192
2020-10-01,3.333.951
2021-01-01,3.324.047
2021-04-01,3.305.628
2021-07-01,3.303.365
2021-10-01,3.305.781
2022-01-01,3.303.914
2022-04-01,3.327.005
2022-07-01,3.345.011
2022-10-01,3.355.575